Layer,Context_Level,Most_Important_Test_Feature,Prompt_1_Most_Important_Test_Feature,Prompt_2_Most_Important_Test_Feature,Prompt_3_Most_Important_Test_Feature,Prompt_4_Most_Important_Test_Feature,Prompt_5_Most_Important_Test_Feature,Prompt_6_Most_Important_Test_Feature,Prompt_7_Most_Important_Test_Feature,Prompt_8_Most_Important_Test_Feature,Prompt_9_Most_Important_Test_Feature,Prompt_10_Most_Important_Test_Feature
6,225,407,189,251,6,33,281,494,407,68,433,28
6,250,335,342,335,337,230,230,166,298,82,160,389
6,275,449,38,241,250,102,217,458,449,394,336,173
6,300,490,347,140,328,371,357,205,490,410,376,347
6,325,217,74,37,452,108,335,369,217,69,336,344
6,350,129,74,30,59,432,98,376,92,89,409,129
6,375,389,161,160,385,389,324,263,173,341,162,263
6,400,300,342,391,109,474,124,1,66,254,477,160
7,25,357,410,241,495,492,313,305,310,357,433,300
7,50,108,466,331,108,306,298,384,292,298,108,282
7,75,108,493,331,285,230,335,74,407,262,108,282
7,100,108,493,63,285,492,298,337,183,298,108,376
7,125,108,467,335,285,492,407,78,335,69,108,108
7,150,407,342,63,457,492,407,6,335,354,287,344
7,175,305,293,452,285,230,217,74,335,407,239,108
7,200,335,103,331,457,492,217,2,335,181,108,108
7,225,407,342,241,121,492,217,166,407,483,160,282
7,250,335,338,335,109,465,335,166,331,80,160,467
7,275,335,356,241,457,102,217,287,449,335,108,332
7,300,347,347,20,328,285,407,305,335,149,385,355
7,325,239,231,241,369,245,43,110,217,69,433,344
7,350,239,484,249,433,432,303,423,466,366,239,467
7,375,324,161,53,452,410,324,284,499,45,112,263
7,400,394,66,228,348,261,124,239,337,394,314,188
8,25,74,74,109,495,137,98,305,408,357,433,300
8,50,298,365,23,495,306,217,298,139,454,342,209
8,75,108,342,103,243,390,98,464,183,181,342,160
8,100,108,150,240,243,326,414,12,292,357,433,282
8,125,217,328,270,239,492,217,298,183,181,433,263
8,150,407,342,109,157,492,57,298,335,181,433,282
8,175,217,467,103,239,418,217,298,501,317,342,210
8,200,217,316,416,457,326,217,298,217,444,342,188
8,225,217,342,357,446,492,217,2,217,280,433,91
8,250,74,342,240,239,6,414,496,74,483,212,17
8,275,217,467,217,239,189,414,496,217,117,433,17
8,300,357,316,357,506,194,414,307,53,280,162,17
8,325,217,67,501,409,194,43,190,217,295,22,17
8,350,239,427,331,366,392,375,215,72,436,63,467
8,375,246,249,104,246,366,324,307,305,354,23,300
8,400,440,249,502,446,474,470,54,440,77,209,400
